Institution,Type,Size,Setting,Minority_Serving_Institution,GRE_Requirements,Address,Link,Latitude,Longitude
"Brown University: Department of Earth, Environmental and Planetary Sciences",Private,medium,urban,No,GRE not required,"One Prospect Street, Providence, RI 2912",https://deeps.brown.edu/,41.83,-71.4
"California State University, Chico: Department of Earth and Environmental Sciences",Public,large,rural,HSI,GRE not required,"31 Ivy Street, Chico, CA 95928",https://www.csuchico.edu/erth/,39.73,-121.85
"California State University, Fresno: Department of Earth and Environmental Sciences",Public,large,urban,HSI,GRE required," 2576 E. San Ramon Ave, Fresno, CA 93740",https://csm.fresnostate.edu/ees/,36.81,-119.75
Central Washington University: Department of Geological Sciences,Public,medium,rural,No,GRE not required,"400 East University Way, Ellensburg, WA 98926",https://www.geology.cwu.edu/,47.01,-120.54
Colorado State University: Department of Atmospheric Science,Public,large,suburban,No,GRE not required,"3915 Laporte Ave., Fort Collins, CO 80521",https://www.atmos.colostate.edu/,40.57,-105.09
Cornell University: Department of Earth and Atmospheric Sciences,Private,large,rural,No,GRE not required,"112 Hollister Drive, Ithaca, NY 14853 ",https://www.eas.cornell.edu/eas,42.45,-76.47
Dartmouth College: Department of Earth Sciences,Private,medium,rural,No,GRE not required,"19 Fayerweather Hill Road, Hanover, NH 03755",https://earthsciences.dartmouth.edu/,43.7,-72.29
Florida International University: Department of Earth and Environment,Public,large,urban,HSI,GRE not required,"11200 S. W. 8th Street, Miami, FL 33199",https://case.fiu.edu/earth-environment/,25.76,-80.38
George Mason University: Department of Atmospheric Oceanic and Earth Sciences,Public,large,suburban,No,GRE not required,"4400 University Dr, 3451 Exploratory Hall and 109 Research Hall, Fairfax, VA 22030 ",https://science.gmu.edu/academics/departments-units/atmospheric-oceanic-earth-sciences,38.83,-77.31
Georgia Institute of Technology: School of Earth and Atmospheric Sciences,Public,large,urban,No,GRE not required,"311 Ferst Drive, Atlanta, GA 30332",https://eas.gatech.edu/,33.78,-84.4
Georgia State University: Department of Geosciences,Public,large,urban,AANAPISI/PBI,GRE not required,"38 Peachtree Center Ave. SE, Suite 730, Atlanta, GA 30303",https://geosciences.gsu.edu/,33.75,-84.39
